city,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,59.84,3.0,,1.0,2024.0,53.474167,14.537222,5.86,1.0,0.888,2.189,0.795,0.494,0.598,3.013,0.662,condominium,yes,yes,no,no,no,989000
szczecin,45.0,2.0,,1.0,1960.0,53.3656,14.5927,6.76,5.0,0.282,3.248,0.107,0.227,0.514,,0.411,condominium,yes,no,no,no,yes,399000
szczecin,65.2,3.0,1.0,10.0,1984.0,53.4542271,14.5541972,3.46,11.0,0.465,0.601,0.438,0.38,0.091,1.861,0.292,cooperative,no,yes,yes,no,no,690000
szczecin,48.15,3.0,3.0,4.0,2011.0,53.4246294,14.4876311,4.86,10.0,0.307,0.347,0.209,0.393,0.36,2.962,0.21,condominium,yes,yes,yes,no,yes,637000
szczecin,42.0,2.0,8.0,10.0,1980.0,53.4546599,14.486451,6.04,10.0,0.216,1.897,0.654,0.178,0.802,3.24,0.12,cooperative,yes,yes,yes,no,yes,449000
szczecin,26.68,1.0,3.0,4.0,1980.0,53.4027245,14.5251563,3.3,11.0,0.36,0.681,0.518,0.283,0.229,1.95,0.289,condominium,yes,no,,no,no,330000
szczecin,52.92,2.0,4.0,4.0,1987.0,53.4240801,14.48198032,5.23,3.0,0.513,0.715,0.301,0.771,0.289,3.322,0.083,condominium,no,yes,no,no,yes,449000
szczecin,45.34,2.0,2.0,28.0,2022.0,53.4291943,14.5532619,0.82,68.0,0.212,0.344,0.345,0.177,0.078,0.557,0.051,condominium,no,no,yes,no,no,750000
szczecin,47.88,2.0,2.0,4.0,1969.0,53.4041118,14.5235129,3.28,10.0,0.286,0.613,0.508,0.113,0.192,1.829,0.146,cooperative,no,no,no,no,yes,399000
szczecin,53.55,2.0,1.0,3.0,1910.0,53.425594,14.540169,1.4,37.0,0.204,0.55,0.315,0.5,0.142,0.478,0.208,condominium,no,no,no,no,yes,437000
szczecin,41.73,2.0,4.0,4.0,2023.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,yes,yes,yes,no,no,579000
szczecin,38.1,2.0,8.0,10.0,1973.0,53.4108479,14.52585167,2.71,13.0,0.257,0.386,0.408,0.105,0.152,1.069,0.262,condominium,no,no,yes,no,yes,435000
szczecin,36.71,2.0,6.0,10.0,1970.0,53.4281122,14.5531989,0.73,59.0,0.296,0.296,0.246,0.199,0.018,0.577,0.084,condominium,yes,yes,yes,no,yes,459000
szczecin,47.55,3.0,7.0,10.0,1969.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,cooperative,no,no,no,no,no,495000
szczecin,65.6,3.0,6.0,8.0,1980.0,53.4230495,14.4471272,7.54,0.0,1.046,3.027,1.23,0.961,1.102,,1.436,cooperative,no,yes,yes,no,no,495000
szczecin,100.52,3.0,3.0,3.0,1920.0,53.4295256,14.5531763,0.85,64.0,0.188,0.36,0.353,0.14,0.046,0.562,0.08,condominium,no,yes,no,no,yes,699000
szczecin,57.07,3.0,9.0,18.0,2009.0,53.4551,14.5616,3.53,16.0,0.375,0.197,0.136,0.44,0.005,1.399,0.135,condominium,no,yes,yes,yes,no,650000
szczecin,32.0,1.0,4.0,10.0,2017.0,53.4572067,14.5422931,3.96,4.0,0.4,0.675,0.509,0.361,0.433,1.824,0.507,condominium,no,yes,yes,no,no,449000
